line,Trait,trait_value,Reference,# lines measured,Sex,Life_stage,Trait guild,Trait description,study_ID,Pooled,Trait_nice,Trait_ID
354,fitness.early.life.f,-0.3500536003651076,Wong and Holman (in prep),125,Female,Adult,Life history,"Mean number of L1 larvae produced by females aged 5-6 days over a 24h period. For each replicate measurement, 5 DGRP females were housed with standardised mates and opposite-sex competitors (15 males and 10 females, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",114,No,Fitness early life (F),334
356,fitness.early.life.f,-0.10533099983022058,Wong and Holman (in prep),125,Female,Adult,Life history,"Mean number of L1 larvae produced by females aged 5-6 days over a 24h period. For each replicate measurement, 5 DGRP females were housed with standardised mates and opposite-sex competitors (15 males and 10 females, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",114,No,Fitness early life (F),334
357,fitness.early.life.f,0.35079599116673027,Wong and Holman (in prep),125,Female,Adult,Life history,"Mean number of L1 larvae produced by females aged 5-6 days over a 24h period. For each replicate measurement, 5 DGRP females were housed with standardised mates and opposite-sex competitors (15 males and 10 females, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",114,No,Fitness early life (F),334
360,fitness.early.life.f,-0.1398039999055678,Wong and Holman (in prep),125,Female,Adult,Life history,"Mean number of L1 larvae produced by females aged 5-6 days over a 24h period. For each replicate measurement, 5 DGRP females were housed with standardised mates and opposite-sex competitors (15 males and 10 females, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",114,No,Fitness early life (F),334
361,fitness.early.life.f,-0.3724405004140383,Wong and Holman (in prep),125,Female,Adult,Life history,"Mean number of L1 larvae produced by females aged 5-6 days over a 24h period. For each replicate measurement, 5 DGRP females were housed with standardised mates and opposite-sex competitors (15 males and 10 females, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",114,No,Fitness early life (F),334
362,fitness.early.life.f,-0.18542050000527116,Wong and Holman (in prep),125,Female,Adult,Life history,"Mean number of L1 larvae produced by females aged 5-6 days over a 24h period. For each replicate measurement, 5 DGRP females were housed with standardised mates and opposite-sex competitors (15 males and 10 females, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",114,No,Fitness early life (F),334
367,fitness.early.life.f,0.560681391625474,Wong and Holman (in prep),125,Female,Adult,Life history,"Mean number of L1 larvae produced by females aged 5-6 days over a 24h period. For each replicate measurement, 5 DGRP females were housed with standardised mates and opposite-sex competitors (15 males and 10 females, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",114,No,Fitness early life (F),334
370,fitness.early.life.f,-0.6146818009435019,Wong and Holman (in prep),125,Female,Adult,Life history,"Mean number of L1 larvae produced by females aged 5-6 days over a 24h period. For each replicate measurement, 5 DGRP females were housed with standardised mates and opposite-sex competitors (15 males and 10 females, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",114,No,Fitness early life (F),334
371,fitness.early.life.f,-0.2330319001093348,Wong and Holman (in prep),125,Female,Adult,Life history,"Mean number of L1 larvae produced by females aged 5-6 days over a 24h period. For each replicate measurement, 5 DGRP females were housed with standardised mates and opposite-sex competitors (15 males and 10 females, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",114,No,Fitness early life (F),334
373,fitness.early.life.f,-0.08258039978049489,Wong and Holman (in prep),125,Female,Adult,Life history,"Mean number of L1 larvae produced by females aged 5-6 days over a 24h period. For each replicate measurement, 5 DGRP females were housed with standardised mates and opposite-sex competitors (15 males and 10 females, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",114,No,Fitness early life (F),334
